area_sqft,bedrooms,bathrooms,location,house_type,state,city,price
710,2,1,Urban,Apartment,Uttar Pradesh,Kanpur,2618236
592,1,2,Urban,Apartment,Jharkhand,Dhanbad,2362335
610,2,1,Urban,Apartment,Karnataka,Mysuru,1237509
469,1,2,Urban,Apartment,Kerala,Kozhikode,2017510
751,2,1,Urban,Apartment,Delhi,Rohini,1227220
314,1,2,Urban,Apartment,Uttar Pradesh,Lucknow,1325207
1145,2,2,Urban,Villa,Gujarat,Ahmedabad,5022792
351,1,1,Urban,Apartment,Karnataka,Mysuru,589389
398,1,2,Urban,Apartment,Chhattisgarh,Raipur,1387629
593,1,1,Urban,Apartment,Bihar,Patna,1369162
998,2,2,Urban,Apartment,Uttar Pradesh,Ghaziabad,4081722
399,1,2,Urban,Apartment,Kerala,Kollam,1978823
941,1,1,Urban,Apartment,Madhya Pradesh,Indore,1719253
1118,2,2,Semi-Urban,Apartment,Punjab,Jalandhar,3193261
328,1,1,Urban,Apartment,Odisha,Bhubaneswar,1307696
665,1,1,Urban,Apartment,West Bengal,Asansol,2766880
451,1,2,Urban,Apartment,Tamil Nadu,Madurai,2238340
704,1,2,Urban,Apartment,Bihar,Muzaffarpur,2653897
708,2,1,Semi-Urban,Apartment,Ladakh,Leh,1193860
462,1,1,Semi-Urban,Apartment,Punjab,Ludhiana,1809781
494,1,2,Urban,Apartment,Odisha,Rourkela,1704737
469,1,1,Urban,Apartment,Meghalaya,Shillong,1624173
1128,2,2,Urban,Apartment,Arunachal Pradesh,Itanagar,5119416
515,1,1,Semi-Urban,Apartment,Odisha,Bhubaneswar,1578155
1691,2,3,Urban,Duplex,Maharashtra,Thane,2769931
1289,3,3,Semi-Urban,Villa,Bihar,Bhagalpur,5708157
565,1,2,Urban,Apartment,Maharashtra,Thane,1239844
798,2,1,Urban,Villa,Goa,Margao,1627688
985,2,3,Semi-Urban,Apartment,Bihar,Bhagalpur,4013964
309,1,1,Urban,Apartment,Maharashtra,Nashik,616789
1773,3,2,Urban,Apartment,Delhi,Saket,3971916
917,2,2,Urban,Apartment,Ladakh,Leh,1748007
1343,2,1,Urban,Apartment,Karnataka,Mysuru,2387653
1693,2,2,Urban,Villa,West Bengal,Siliguri,8780730
352,1,1,Urban,Duplex,Chhattisgarh,Bhilai,1183420
1079,2,3,Urban,Apartment,Uttar Pradesh,Lucknow,4158622
780,1,2,Urban,Apartment,Andhra Pradesh,Visakhapatnam,2978306
1032,1,2,Semi-Urban,Apartment,Bihar,Muzaffarpur,3486628
689,1,2,Urban,Villa,Haryana,Karnal,1407754
812,1,2,Urban,Apartment,Chhattisgarh,Raipur,3112358
376,1,1,Urban,Apartment,Gujarat,Vadodara,1506192
519,1,1,Semi-Urban,Apartment,Andhra Pradesh,Vijayawada,1572683
1206,2,1,Urban,Apartment,Maharashtra,Nagpur,4611510
1123,2,1,Urban,Apartment,Maharashtra,Mumbai,27125607
933,2,1,Urban,Apartment,Goa,Panaji,1795442
1083,1,2,Urban,Apartment,West Bengal,Siliguri,4666916
541,1,2,Urban,Villa,Nagaland,Kohima,1137323
350,1,1,Semi-Urban,Apartment,Madhya Pradesh,Gwalior,1347000
326,1,1,Urban,Apartment,Madhya Pradesh,Bhopal,667375
341,1,2,Urban,Apartment,Delhi,Delhi,4247985
395,1,1,Urban,Apartment,Maharashtra,Pune,1040844
1238,2,3,Urban,Duplex,Haryana,Gurgaon,6161965
679,2,1,Urban,Apartment,Maharashtra,Aurangabad,1853936
1579,2,1,Urban,Duplex,Himachal Pradesh,Dharamshala,5138850
2342,4,4,Urban,Apartment,Delhi,Rohini,4409708
448,1,2,Urban,Apartment,Kerala,Thiruvananthapuram,1730987
721,1,1,Urban,Villa,Jammu & Kashmir,Jammu,1889310
530,1,1,Semi-Urban,Villa,Tamil Nadu,Chennai,5477306
315,1,1,Urban,Villa,Telangana,Hyderabad,3398947
934,1,2,Urban,Apartment,Tripura,Agartala,3366457
1130,1,1,Semi-Urban,Villa,Rajasthan,Jodhpur,4482626
335,1,1,Urban,Villa,Uttar Pradesh,Lucknow,1700408
555,1,1,Urban,Apartment,Delhi,Saket,1245150
1057,1,2,Urban,Apartment,Rajasthan,Udaipur,4014451
650,1,1,Urban,Apartment,Tamil Nadu,Chennai,5549847
737,1,2,Urban,Villa,Jammu & Kashmir,Srinagar,3718066
731,2,2,Semi-Urban,Apartment,Maharashtra,Kolhapur,2867595
1247,2,1,Urban,Villa,Tripura,Agartala,5443854
2462,5,2,Semi-Urban,Apartment,Madhya Pradesh,Indore,3787006
1341,2,1,Urban,Apartment,Tamil Nadu,Coimbatore,5441728
1397,2,1,Urban,Apartment,Meghalaya,Shillong,5462692
833,2,3,Urban,Apartment,Kerala,Kollam,3830731
1835,3,4,Urban,Apartment,Andhra Pradesh,Guntur,7541687
1212,2,3,Urban,Apartment,Bihar,Patna,2504968
766,1,2,Urban,Apartment,Karnataka,Hubli,1406557
2846,5,4,Urban,Apartment,Telangana,Warangal,12385812
361,1,2,Urban,Apartment,Delhi,Saket,942215
316,1,2,Urban,Duplex,Delhi,Dwarka,603661
744,2,2,Urban,Duplex,Punjab,Amritsar,3465137
1722,2,3,Semi-Urban,Apartment,Punjab,Amritsar,5343890
550,1,1,Semi-Urban,Villa,Rajasthan,Jaipur,2158979
1444,3,3,Urban,Duplex,Ladakh,Leh,3033454
406,1,2,Urban,Apartment,West Bengal,Siliguri,1688398
499,1,2,Urban,Apartment,Kerala,Kollam,2640534
2478,3,4,Semi-Urban,Apartment,Goa,Margao,3940692
720,1,2,Urban,Apartment,Rajasthan,Kota,1528372
1608,3,1,Semi-Urban,Villa,Uttar Pradesh,Agra,3974653
1176,1,1,Semi-Urban,Villa,Jharkhand,Dhanbad,5505713
933,2,2,Urban,Villa,Jharkhand,Dhanbad,4407653
2785,4,2,Urban,Apartment,West Bengal,Asansol,12219767
416,1,1,Urban,Apartment,Sikkim,Gangtok,1348697
2980,4,4,Urban,Apartment,Karnataka,Hubli,7408186
460,1,2,Urban,Apartment,Delhi,Dwarka,1018284
602,2,2,Urban,Apartment,Bihar,Bhagalpur,2065904
675,1,2,Urban,Apartment,Haryana,Faridabad,3022593
1061,1,2,Urban,Apartment,Kerala,Thiruvananthapuram,3814472
397,1,2,Urban,Apartment,Delhi,Delhi,5411056
1671,2,2,Urban,Duplex,Karnataka,Mangalore,6173239
1214,3,3,Semi-Urban,Apartment,Assam,Dibrugarh,4332002
880,1,1,Urban,Villa,Kerala,Thiruvananthapuram,4461241
381,1,1,Urban,Apartment,Lakshadweep,Kavaratti,1548979
1220,2,1,Urban,Apartment,Manipur,Imphal,2352570
633,1,1,Urban,Apartment,Nagaland,Kohima,1442928
696,2,1,Semi-Urban,Apartment,West Bengal,Siliguri,2675919
797,1,1,Urban,Apartment,Uttar Pradesh,Ghaziabad,4031347
1467,2,3,Urban,Apartment,Jharkhand,Jamshedpur,5908561
1861,3,3,Semi-Urban,Apartment,Karnataka,Dharwad,7646118
882,2,2,Urban,Duplex,Madhya Pradesh,Indore,2369470
423,1,1,Semi-Urban,Apartment,Ladakh,Leh,848258
1514,2,1,Urban,Apartment,Kerala,Kochi,2740142
366,1,2,Urban,Apartment,Kerala,Kochi,609914
525,1,1,Urban,Apartment,Himachal Pradesh,Dharamshala,2201833
1113,2,2,Urban,Apartment,Maharashtra,Aurangabad,4240229
484,1,1,Semi-Urban,Apartment,Maharashtra,Thane,993352
1118,2,2,Urban,Apartment,Uttar Pradesh,Ghaziabad,4244252
450,1,1,Urban,Apartment,Uttar Pradesh,Kanpur,1808069
1950,3,3,Urban,Apartment,Gujarat,Bhavnagar,7546306
408,1,2,Semi-Urban,Duplex,Karnataka,Dharwad,1271498
1851,3,2,Semi-Urban,Apartment,Sikkim,Gangtok,4959785
1833,3,2,Urban,Apartment,Uttar Pradesh,Agra,3961072
864,1,1,Urban,Apartment,Punjab,Ludhiana,4255502
635,2,2,Semi-Urban,Villa,West Bengal,Durgapur,2359916
560,1,2,Urban,Apartment,Himachal Pradesh,Dharamshala,2423426
1020,1,2,Urban,Apartment,Goa,Margao,2154185
350,1,2,Semi-Urban,Apartment,Karnataka,Dharwad,1043434
810,1,1,Semi-Urban,Duplex,Madhya Pradesh,Jabalpur,3381768
488,1,2,Urban,Apartment,Telangana,Nizamabad,2040330
1324,2,1,Urban,Villa,Rajasthan,Jaipur,6713907
352,1,1,Urban,Apartment,Haryana,Karnal,706550
1089,1,1,Urban,Apartment,Odisha,Rourkela,4823689
333,1,1,Urban,Apartment,Tamil Nadu,Coimbatore,1009218
410,1,2,Urban,Apartment,West Bengal,Durgapur,1655503
1069,1,2,Urban,Apartment,West Bengal,Asansol,5783419
347,1,2,Urban,Apartment,Delhi,Rohini,682357
315,1,2,Urban,Villa,Assam,Dibrugarh,1395687
3375,5,3,Urban,Apartment,Maharashtra,Mumbai,68561705
814,2,1,Urban,Apartment,Haryana,Gurgaon,2766312
869,2,1,Urban,Villa,Tamil Nadu,Chennai,9028052
1614,3,1,Urban,Apartment,Gujarat,Vadodara,6975232
1036,1,2,Urban,Apartment,Telangana,Warangal,4245419
489,1,2,Urban,Apartment,Bihar,Gaya,808584
431,1,2,Urban,Apartment,Maharashtra,Aurangabad,2033513
771,2,3,Urban,Villa,Goa,Panaji,1738313
459,1,1,Semi-Urban,Apartment,Haryana,Panipat,1429133
1067,1,1,Urban,Apartment,Delhi,Karol Bagh,3623490
869,1,2,Urban,Apartment,West Bengal,Asansol,3092150
527,1,2,Urban,Apartment,West Bengal,Kolkata,3619178
529,1,1,Urban,Apartment,Haryana,Faridabad,2527251
1836,3,4,Urban,Apartment,Assam,Dibrugarh,7639261
634,1,2,Urban,Apartment,Maharashtra,Thane,1320744
703,1,1,Urban,Apartment,Himachal Pradesh,Shimla,1319590
483,1,2,Urban,Apartment,Karnataka,Mangalore,2214235
960,1,1,Urban,Apartment,Rajasthan,Jaipur,3427891
369,1,2,Urban,Apartment,Chhattisgarh,Bhilai,1458582
1272,3,2,Urban,Duplex,Madhya Pradesh,Gwalior,5286440
721,2,2,Urban,Apartment,Bihar,Muzaffarpur,2912831
1003,2,1,Urban,Apartment,Punjab,Ludhiana,3892194
663,2,2,Urban,Apartment,Maharashtra,Kalyan,1193406
2897,3,4,Semi-Urban,Apartment,Uttar Pradesh,Agra,5303558
676,2,2,Urban,Apartment,Odisha,Bhubaneswar,2737819
661,1,2,Urban,Apartment,Goa,Margao,1718376
758,1,1,Urban,Duplex,Uttarakhand,Haridwar,3071399
1265,3,4,Urban,Apartment,Punjab,Chandigarh,4683315
1141,2,3,Urban,Duplex,Madhya Pradesh,Indore,2646444
3732,4,1,Urban,Apartment,Haryana,Panipat,14558415
458,1,2,Urban,Duplex,West Bengal,Asansol,2487902
546,1,1,Urban,Villa,Uttar Pradesh,Agra,1288154
2225,4,3,Urban,Duplex,Rajasthan,Kota,4964871
567,1,1,Urban,Apartment,Delhi,New Delhi,8243083
1831,2,3,Urban,Villa,Karnataka,Hubli,3554986
1527,2,2,Urban,Apartment,Uttarakhand,Dehradun,6241476
1080,2,3,Urban,Apartment,Andhra Pradesh,Guntur,4717918
543,1,1,Urban,Apartment,Delhi,Delhi,7569223
611,1,1,Urban,Apartment,Maharashtra,Nashik,1313883
363,1,1,Urban,Duplex,Uttar Pradesh,Noida,712088
1116,1,1,Urban,Apartment,Himachal Pradesh,Shimla,2733695
407,1,1,Urban,Apartment,Uttar Pradesh,Ghaziabad,1979948
757,2,3,Urban,Villa,Andhra Pradesh,Vijayawada,3472437
639,2,3,Urban,Apartment,Arunachal Pradesh,Itanagar,2485478
753,1,1,Urban,Apartment,Chhattisgarh,Bilaspur,3816774
1752,2,1,Urban,Villa,Bihar,Gaya,4072411
1332,3,4,Semi-Urban,Villa,Maharashtra,Thane,2779617
1131,1,2,Urban,Apartment,Kerala,Kozhikode,4852237
1159,2,3,Urban,Apartment,Jharkhand,Ranchi,1775473
616,2,3,Urban,Apartment,Karnataka,Bengaluru,7260292
1489,3,2,Urban,Apartment,Assam,Dibrugarh,8569156
1597,2,1,Urban,Apartment,Manipur,Imphal,2394548
435,1,1,Urban,Villa,Maharashtra,Pune,1074913
2321,3,2,Urban,Apartment,Goa,Margao,5270936
682,1,2,Urban,Apartment,Chhattisgarh,Bilaspur,2829762
526,1,1,Urban,Apartment,Haryana,Faridabad,1966017
409,1,2,Urban,Villa,Jammu & Kashmir,Jammu,959562
684,2,3,Urban,Apartment,Rajasthan,Udaipur,2088219
920,1,2,Semi-Urban,Apartment,Maharashtra,Mumbai,21305886
1193,2,1,Urban,Apartment,Gujarat,Surat,2107841
346,1,2,Urban,Apartment,Madhya Pradesh,Indore,759362
1091,2,1,Urban,Apartment,Nagaland,Kohima,2584326
375,1,2,Urban,Duplex,Arunachal Pradesh,Itanagar,1225271
2636,5,3,Urban,Villa,Uttar Pradesh,Kanpur,13460442
371,1,1,Urban,Apartment,Chhattisgarh,Raipur,1808260
1684,2,1,Urban,Apartment,Assam,Dibrugarh,7030316
638,2,2,Urban,Apartment,Uttarakhand,Dehradun,2853982
910,1,2,Urban,Apartment,Tripura,Agartala,3716282
322,1,2,Urban,Apartment,Kerala,Kozhikode,1325481
387,1,2,Urban,Villa,Rajasthan,Jaipur,2121645
1842,3,4,Semi-Urban,Apartment,Gujarat,Vadodara,5183085
802,1,1,Urban,Apartment,Karnataka,Mangalore,4108040
985,2,2,Urban,Apartment,Kerala,Kozhikode,3985209
2913,5,1,Urban,Apartment,Delhi,Saket,4857432
362,1,1,Urban,Apartment,Maharashtra,Nagpur,1332226
565,1,1,Urban,Duplex,Delhi,Karol Bagh,2569670
772,1,2,Urban,Apartment,Uttarakhand,Haridwar,3040797
1374,3,2,Semi-Urban,Villa,Puducherry,Puducherry,5346046
1127,1,1,Urban,Apartment,Karnataka,Mangalore,5068285
2211,5,3,Urban,Villa,Maharashtra,Nashik,5573026
963,1,2,Semi-Urban,Apartment,Tamil Nadu,Madurai,3157398
2499,5,3,Urban,Apartment,Andhra Pradesh,Vijayawada,7390136
394,1,1,Urban,Apartment,Arunachal Pradesh,Itanagar,1648448
1966,3,3,Urban,Apartment,Maharashtra,Kolhapur,7359681
304,1,1,Urban,Apartment,Uttar Pradesh,Agra,594236
322,1,1,Urban,Apartment,Arunachal Pradesh,Itanagar,1302787
427,1,2,Urban,Villa,Bihar,Patna,930452
1045,1,2,Urban,Apartment,West Bengal,Kolkata,6701208
340,1,2,Urban,Apartment,West Bengal,Siliguri,1218820
801,1,1,Urban,Apartment,West Bengal,Durgapur,3050214
752,2,1,Urban,Apartment,Chhattisgarh,Raipur,2375030
758,2,2,Semi-Urban,Apartment,Odisha,Cuttack,2337110
869,2,3,Urban,Apartment,Assam,Dibrugarh,3661633
1504,3,3,Urban,Duplex,Gujarat,Ahmedabad,7394447
1047,1,2,Urban,Apartment,Rajasthan,Kota,2278552
2357,5,1,Urban,Apartment,Uttar Pradesh,Noida,3361303
852,1,2,Urban,Apartment,Chhattisgarh,Bilaspur,3140375
611,1,2,Urban,Apartment,Lakshadweep,Kavaratti,2734940
486,1,2,Semi-Urban,Apartment,Telangana,Hyderabad,2895844
1665,3,1,Urban,Duplex,Karnataka,Bengaluru,14749363
790,1,2,Urban,Apartment,Uttar Pradesh,Agra,1560670
485,1,2,Urban,Apartment,Gujarat,Bhavnagar,1594993
476,1,1,Urban,Apartment,Maharashtra,Pune,820410
1629,2,3,Semi-Urban,Apartment,Ladakh,Leh,2568942
1281,3,1,Urban,Apartment,Karnataka,Mangalore,5073757
1186,1,1,Semi-Urban,Apartment,Goa,Panaji,2079357
818,1,2,Urban,Apartment,Gujarat,Vadodara,3556410
652,1,2,Urban,Apartment,Chhattisgarh,Bilaspur,2490000
648,1,2,Urban,Apartment,Bihar,Bhagalpur,2479531
2059,5,3,Urban,Apartment,Telangana,Warangal,8118168
679,1,2,Urban,Apartment,Jharkhand,Dhanbad,3232089
550,1,2,Urban,Apartment,Odisha,Rourkela,2497626
679,1,2,Urban,Apartment,Punjab,Jalandhar,3088428
937,1,1,Urban,Apartment,Jharkhand,Ranchi,2126283
577,1,2,Urban,Apartment,Karnataka,Mysuru,1228979
1010,2,2,Urban,Apartment,Maharashtra,Kalyan,2215745
966,2,1,Urban,Apartment,Rajasthan,Udaipur,4338088
968,1,1,Urban,Duplex,Karnataka,Dharwad,4363321
448,1,2,Urban,Apartment,Odisha,Rourkela,1957290
1263,2,3,Semi-Urban,Apartment,Punjab,Chandigarh,3052895
1573,2,2,Semi-Urban,Villa,Haryana,Panipat,7416722
414,1,2,Urban,Apartment,Kerala,Kollam,2141787
341,1,1,Urban,Apartment,West Bengal,Kolkata,2540844
673,1,2,Urban,Apartment,Ladakh,Leh,1369412
389,1,1,Urban,Apartment,Delhi,Delhi,6152146
1371,2,3,Urban,Apartment,Odisha,Rourkela,5384264
1074,2,2,Semi-Urban,Apartment,Telangana,Hyderabad,6752926
877,1,1,Urban,Apartment,Goa,Margao,2158425
3547,4,4,Urban,Apartment,Jammu & Kashmir,Jammu,7156513
3446,4,3,Semi-Urban,Apartment,Uttarakhand,Dehradun,13343114
1222,3,4,Urban,Villa,Gujarat,Bhavnagar,3655575
1908,2,3,Urban,Apartment,Kerala,Kozhikode,7646702
674,1,1,Semi-Urban,Duplex,Maharashtra,Mumbai,13242348
3383,5,3,Urban,Apartment,Delhi,Dwarka,7954883
644,1,2,Urban,Apartment,Maharashtra,Pune,1397899
1593,2,1,Urban,Apartment,Punjab,Ludhiana,6329383
1061,2,1,Urban,Duplex,Manipur,Imphal,2513443
1987,2,1,Urban,Apartment,Madhya Pradesh,Bhopal,3748427
2384,3,4,Urban,Apartment,Tamil Nadu,Tiruchirappalli,8701099
358,1,2,Urban,Duplex,Haryana,Gurgaon,1001925
884,1,2,Urban,Villa,Assam,Silchar,4311641
2533,5,4,Urban,Apartment,Rajasthan,Kota,4840294
427,1,1,Urban,Apartment,Telangana,Warangal,1984008
324,1,2,Urban,Duplex,Chhattisgarh,Bhilai,1303724
330,1,1,Urban,Villa,Karnataka,Mysuru,865798
751,2,1,Urban,Apartment,Punjab,Chandigarh,3398048
918,2,3,Urban,Apartment,Meghalaya,Shillong,3692502
600,2,3,Urban,Apartment,Jharkhand,Dhanbad,2099947
1016,2,2,Urban,Apartment,Assam,Silchar,4846690
525,1,1,Urban,Apartment,Maharashtra,Pune,1036277
440,1,1,Urban,Apartment,Bihar,Gaya,898014
998,1,2,Urban,Apartment,Maharashtra,Aurangabad,3477048
645,1,1,Urban,Apartment,Meghalaya,Shillong,2836986
893,1,2,Urban,Villa,Bihar,Gaya,2204735
753,2,1,Urban,Apartment,Tripura,Agartala,3881522
1727,2,3,Semi-Urban,Villa,Karnataka,Mysuru,4982843
1020,2,1,Urban,Villa,Manipur,Imphal,2920920
336,1,1,Urban,Duplex,Uttar Pradesh,Noida,764336
816,2,3,Urban,Apartment,Kerala,Thiruvananthapuram,2826545
630,1,2,Urban,Villa,Gujarat,Ahmedabad,3564828
2911,4,3,Semi-Urban,Apartment,Madhya Pradesh,Jabalpur,8146153
789,1,1,Urban,Apartment,Puducherry,Puducherry,3016204
769,1,1,Urban,Apartment,Maharashtra,Kalyan,1236137
1666,3,4,Urban,Apartment,Haryana,Faridabad,7376501
999,1,1,Urban,Apartment,Meghalaya,Shillong,4880091
427,1,2,Urban,Apartment,Assam,Guwahati,1969050
1622,2,2,Urban,Apartment,Telangana,Hyderabad,10690798
921,1,2,Urban,Apartment,Nagaland,Kohima,1715414
362,1,1,Urban,Apartment,Kerala,Thiruvananthapuram,1806267
820,2,1,Urban,Apartment,Uttar Pradesh,Ghaziabad,2937791
504,1,2,Urban,Apartment,Bihar,Bhagalpur,2250184
1439,2,3,Semi-Urban,Villa,Kerala,Kochi,1934022
430,1,2,Urban,Apartment,Assam,Guwahati,1913688
484,1,1,Urban,Duplex,Delhi,New Delhi,7514285
2330,3,1,Urban,Duplex,Karnataka,Dharwad,8051291
902,2,3,Urban,Apartment,Assam,Guwahati,2759662
400,1,1,Urban,Apartment,Himachal Pradesh,Dharamshala,1632071
2143,5,4,Urban,Duplex,Arunachal Pradesh,Itanagar,11476944
587,1,1,Urban,Apartment,Andhra Pradesh,Guntur,2200031
1091,2,1,Semi-Urban,Apartment,Sikkim,Gangtok,2663460
300,1,1,Urban,Duplex,Punjab,Ludhiana,1288899
944,2,3,Urban,Apartment,Andhra Pradesh,Visakhapatnam,3839081
930,2,3,Urban,Apartment,Lakshadweep,Kavaratti,3694995
764,1,1,Urban,Apartment,Punjab,Jalandhar,3205155
811,2,1,Urban,Apartment,Delhi,New Delhi,11323276
349,1,1,Urban,Apartment,Uttar Pradesh,Ghaziabad,1414049
763,2,2,Urban,Apartment,Haryana,Panipat,4035898
1748,2,1,Urban,Apartment,Bihar,Bhagalpur,7628779
1158,1,2,Semi-Urban,Duplex,Lakshadweep,Kavaratti,3936848
2465,4,2,Semi-Urban,Apartment,Ladakh,Leh,4009986
493,1,2,Urban,Apartment,Bihar,Patna,1029907
335,1,2,Urban,Apartment,Nagaland,Kohima,640740
690,1,2,Urban,Apartment,Assam,Silchar,2924544
1456,2,3,Semi-Urban,Villa,Telangana,Hyderabad,15471332
1092,2,2,Urban,Apartment,Chhattisgarh,Bilaspur,5219910
1058,1,2,Urban,Apartment,Delhi,New Delhi,13712945
579,1,1,Urban,Duplex,Uttar Pradesh,Noida,1214017
1563,3,2,Urban,Villa,Delhi,Saket,4343785
419,1,2,Urban,Apartment,Maharashtra,Nagpur,1703733
801,2,1,Urban,Villa,Punjab,Amritsar,3537727
892,2,2,Urban,Villa,Assam,Guwahati,5508183
663,2,3,Semi-Urban,Apartment,Bihar,Muzaffarpur,2101991
788,1,1,Semi-Urban,Apartment,Delhi,Dwarka,1404533
774,1,1,Urban,Apartment,Maharashtra,Mumbai,18975948
359,1,1,Urban,Apartment,Maharashtra,Aurangabad,1284796
2875,4,3,Urban,Apartment,Chhattisgarh,Bhilai,11759761
365,1,1,Urban,Apartment,West Bengal,Asansol,1433518
1593,2,1,Urban,Apartment,Maharashtra,Aurangabad,5890060
341,1,2,Urban,Apartment,Tamil Nadu,Tiruchirappalli,1325354
993,2,3,Urban,Apartment,Rajasthan,Jodhpur,3202981
311,1,2,Urban,Apartment,Kerala,Thiruvananthapuram,1249168
1487,3,4,Urban,Apartment,Assam,Guwahati,5381869
570,1,1,Urban,Apartment,West Bengal,Durgapur,2307839
2052,3,4,Urban,Apartment,Nagaland,Kohima,3809640
317,1,1,Urban,Apartment,Karnataka,Hubli,793345
504,1,2,Semi-Urban,Apartment,Kerala,Thiruvananthapuram,1523957
389,1,1,Urban,Apartment,Punjab,Ludhiana,1596746
597,1,1,Urban,Apartment,Tripura,Agartala,2520463
788,1,1,Urban,Apartment,Karnataka,Dharwad,3599543
685,2,1,Urban,Apartment,West Bengal,Siliguri,3001231
640,2,3,Urban,Apartment,Uttar Pradesh,Ghaziabad,2370509
1297,2,3,Urban,Apartment,Maharashtra,Pune,2306741
1389,3,4,Urban,Apartment,Assam,Guwahati,4823504
2026,3,4,Semi-Urban,Duplex,Punjab,Amritsar,6503329
309,1,1,Urban,Apartment,Maharashtra,Nagpur,1468842
313,1,2,Urban,Apartment,Bihar,Gaya,643281
527,1,2,Urban,Villa,Andhra Pradesh,Guntur,2803661
466,1,2,Semi-Urban,Duplex,Andhra Pradesh,Visakhapatnam,1634817
416,1,1,Urban,Apartment,Manipur,Imphal,666791
1520,2,1,Urban,Apartment,Jharkhand,Dhanbad,6683999
908,2,3,Urban,Duplex,Odisha,Bhubaneswar,3571307
419,1,1,Semi-Urban,Apartment,Telangana,Hyderabad,3210132
759,1,1,Urban,Apartment,Haryana,Panipat,3133544
360,1,2,Urban,Apartment,Tamil Nadu,Coimbatore,1114139
1176,2,2,Urban,Apartment,Punjab,Chandigarh,4601559
1196,2,1,Urban,Apartment,Assam,Dibrugarh,4918709
1569,2,1,Urban,Apartment,Uttarakhand,Haldwani,6670834
1149,2,1,Urban,Villa,Rajasthan,Jaipur,5242613
621,1,1,Urban,Villa,Kerala,Kollam,2580733
651,1,1,Urban,Apartment,Andhra Pradesh,Visakhapatnam,2464963
1780,2,3,Urban,Apartment,Himachal Pradesh,Shimla,3435148
642,1,1,Urban,Apartment,Haryana,Panipat,2863820
402,1,1,Urban,Duplex,Kerala,Kollam,1691475
325,1,1,Urban,Apartment,Chhattisgarh,Bilaspur,1437394
590,1,1,Semi-Urban,Apartment,Nagaland,Kohima,957468
3239,5,4,Urban,Apartment,West Bengal,Kolkata,22506915
404,1,2,Urban,Apartment,Assam,Dibrugarh,1841259
861,1,2,Urban,Apartment,Assam,Dibrugarh,3755366
377,1,1,Urban,Apartment,Bihar,Muzaffarpur,1710392
661,2,2,Urban,Apartment,Rajasthan,Kota,1785207
1176,1,1,Urban,Apartment,Uttar Pradesh,Ghaziabad,5726553
763,1,1,Urban,Villa,Jharkhand,Jamshedpur,3590438
1257,2,2,Urban,Apartment,Uttarakhand,Dehradun,3987254
785,2,1,Urban,Apartment,Goa,Margao,1779679
618,1,1,Urban,Villa,West Bengal,Durgapur,2844481
760,2,2,Urban,Apartment,Delhi,Karol Bagh,2862351
389,1,2,Urban,Apartment,Assam,Silchar,1773967
1736,3,3,Urban,Apartment,Sikkim,Gangtok,6006609
514,1,1,Urban,Apartment,Uttarakhand,Haldwani,1904085
1633,3,3,Urban,Villa,Karnataka,Dharwad,7257659
498,1,1,Semi-Urban,Apartment,Andhra Pradesh,Vijayawada,1774953
652,1,1,Urban,Apartment,Punjab,Chandigarh,2486088
591,1,2,Urban,Apartment,Punjab,Chandigarh,2313610
812,2,2,Urban,Apartment,Delhi,Delhi,12097823
802,1,2,Urban,Apartment,Delhi,Rohini,1728936
535,1,2,Urban,Apartment,Gujarat,Vadodara,2218099
1345,2,3,Urban,Apartment,Odisha,Rourkela,6276468
574,1,1,Urban,Villa,Delhi,Delhi,11809730
2720,4,1,Urban,Apartment,Karnataka,Hubli,5465192
592,1,1,Semi-Urban,Apartment,Goa,Margao,1192757
677,1,2,Urban,Apartment,Delhi,Dwarka,1313410
1733,3,1,Urban,Villa,Telangana,Warangal,10846060
631,2,1,Urban,Apartment,Kerala,Kozhikode,2481818
1182,2,1,Urban,Duplex,Madhya Pradesh,Indore,2795962
315,1,2,Semi-Urban,Apartment,Madhya Pradesh,Bhopal,920045
1529,2,1,Urban,Duplex,Goa,Panaji,2929705
588,1,1,Urban,Villa,Tamil Nadu,Coimbatore,3002156
318,1,2,Urban,Apartment,Tamil Nadu,Coimbatore,1201854
728,1,2,Urban,Apartment,Jharkhand,Ranchi,1414467
1745,3,1,Urban,Apartment,Madhya Pradesh,Gwalior,7348906
1403,3,1,Urban,Apartment,Punjab,Jalandhar,6914341
738,1,1,Urban,Apartment,Tamil Nadu,Coimbatore,2318442
569,1,1,Urban,Apartment,Uttarakhand,Haridwar,1933655
1412,3,2,Semi-Urban,Apartment,Haryana,Karnal,2820204
1760,3,3,Urban,Apartment,Delhi,Delhi,27738971
314,1,2,Urban,Apartment,Madhya Pradesh,Jabalpur,1352653
1157,1,1,Urban,Apartment,Telangana,Warangal,3683877
440,1,2,Urban,Apartment,Uttarakhand,Haridwar,1629673
599,1,2,Urban,Apartment,Gujarat,Ahmedabad,2680262
484,1,2,Urban,Villa,Maharashtra,Kolhapur,1960208
849,2,1,Urban,Apartment,Delhi,Karol Bagh,3792885
305,1,2,Semi-Urban,Apartment,Delhi,Saket,826899
1949,3,1,Urban,Apartment,Sikkim,Gangtok,7514068
347,1,1,Urban,Apartment,Himachal Pradesh,Shimla,728358
326,1,1,Urban,Apartment,Tamil Nadu,Chennai,2619933
2085,5,2,Urban,Duplex,Maharashtra,Mumbai,49721045
